ID,Texto_Bruto,Tokens_Normalizados,Stemming,Lemma,Outros_Dados_Relevantes
https://adalbertoday.blogspot.com/2018/02/blumenau-e-sua-historia.html,Apresentamos para sua facilidade vários links sobre a história de Blumenau e melhor pesquisa de acesso. Clicando em cada tema escolhido ou de consulta irá abrir aquilo que desejar saber. Muitos assunt...,apresentamos facilidade vários links sobre história blumenau melhor pesquisa acesso clicando cada tema escolhido consulta irá abrir desejar saber muitos,apresent facil vári link sobr histór blumenau melhor pesquis acess clic cad tem escolh consult irá abr desej sab muit,apresentamos facilidade vários link sobre história blumenau melhor pesquisa acesso clicando cada tema escolhido consulta irá abrir desejar saber muitos,"Datas: 22/23/24, 17/12/1983, 31/10/1961 | Nomes: Eugen, Urda, Neto"
https://adalbertoday.blogspot.com/2015/09/parabens-blumenau-e-sua-gente.html,"Parabéns Blumenau pela passagem do seu Aniversário Povo ordeiro, trabalhador, pujante - nos remete a uma cidade cheia de orgulho, de esplendor de bela natureza e de um povo que se orgulha de sua cidad...",parabéns blumenau passagem aniversário povo ordeiro trabalhador pujante remete cidade cheia orgulho esplendor bela natureza povo orgulha cidade parabéns blumenau,parabém blumenau pass aniversári pov ord trabalh puj remet cidad chei orgulh esplen bel natur pov orgulh cidad parabém blumenau,parabéns blumenau passagem aniversário povo ordeiro trabalhador pujante remete cidade cheia orgulho esplendor bela natureza povo orgulha cidade parabéns blumenau,"Nomes: Barbecke, Rua, Lei"
http://adalbertoday.blogspot.com.br/2015/04/blumenau-verdades-e-mitos.html,Alguns mitos e verdades de nossa cidade de Blumenau. Ou também omissão de fatos e dados que sua gente precisa saber. Ou pelo QR - CODE 01 - Antes da fundação da cidade de Blumenau já existia moradores...,alguns mitos verdades cidade blumenau omissão fatos dados gente precisa saber code antes fundação cidade blumenau existia moradores região verdade,algum mit verdad cidad blumenau omiss fat dad gent precis sab cod ant fund cidad blumenau exist mor reg verdad,alguns mitos verdades cidade blumenau omissão fatos dado gente precisa saber code ante fundação cidade blumenau existia moradores região verdade,"Datas: 15/07/1962, 16/9/1951, 26/12/1964 | Nomes: Nos, Neto, Windschholzhausen"
http://adalbertoday.blogspot.com.br/2008/05/dr-hermann-bruno-otto-blumenau.html,"- A imagem mostra a residência que foi de Hermann Wendeburg – amigo de Dr. Blumenau e vice-diretor da colônia, que morou nesta residência de 1858 até 1881. Dr. Blumenau morou aos fundos desta residênc...",imagem mostra residência hermann wendeburg amigo dr. blumenau vice-diretor colônia morou nesta residência dr. blumenau morou fundos desta residência casa,imag mostr resid hermann wendeburg amig dr. blumenau vice-dire colôn mor nest resid dr. blumenau mor fund dest resid cas,imagem mostra residência hermann wendeburg amigo dr. blumenau vice-diretor colônia morou nesta residência dr. blumenau morou fundos desta residência casa,"Nomes: Rua, Lei, Municipal"
http://adalbertoday.blogspot.com.br/2008/01/bela-blumenau.html,"- Olá meus amigos de Blumenau SC – e todo o Brasil. Novamente estou aqui para contar um pouco mais da história de nossa linda e encantadora cidade jardim. Já mostramos isso em várias postagens, é só c...",olá amigos blumenau todo brasil novamente aqui contar pouco história linda encantadora cidade jardim mostramos várias postagens conferir fazendo procura,olá amig blumenau tod brasil nov aqu cont pouc histór lind encant cidad jardim mostr vár post confer faz proc,olá amigo blumenau todo brasil novamente aqui contar pouco história linda encantadora cidade jardim mostramos várias postagens conferir fazendo procura,"Nomes: Otto, Provincial, Lei"
http://adalbertoday.blogspot.com.br/2010/07/como-viveram-os-primeiros-colonos.html,"Paulo Malta Ferraz em depoimento para a história da colonização de Blumenau 1850-1860. Sacrifícios, e tristezas caracterizaram a vida dos blumenauenses nas décadas de 1850-1860. Somente o firme propós...",paulo malta ferraz depoimento história colonização blumenau sacrifícios tristezas caracterizaram vida blumenauenses décadas somente firme propósito criarem descendentes novo lar,paul malt ferraz depo histór colon blumenau sacrifíci trist caracteriz vid blumenau déc soment firm propósit cri descend nov lar,paulo malta ferraz depoimento história colonização blumenau sacrifícios tristezas caracterizaram vida blumenauenses décadas somente firme propósito criarem descendentes novo lar,"Nomes: Malta, Centenário, Estes"
https://adalbertoday.blogspot.com/2019/04/barracao-dos-imigrantes.html,"OS PRIMEIROS TEMPOS em Blumenau José Ferreira da Silva Reprodução Pelos relatórios deixados pelo Dr. Hermann Blumenau podemos, hoje, fazer urna ideia, mais ou menos exata, de corno foi formado o povoa...",primeiros tempos blumenau josé ferreira silva reprodução relatórios deixados dr. hermann blumenau podemos hoje fazer urna ideia menos exata corno,prim temp blumenau josé ferr silv reproduç relatóri deix dr. hermann blumenau pod hoj faz urn ide menos exat corn,primeiros tempo blumenau josé ferreira silva reprodução relatórios deixados dr. hermann blumenau podemos hoje fazer urna ideia menos exata corno,"Nomes: Pátria, Nesta, Friedenreich"
http://adalbertoday.blogspot.com.br/2010/04/as-casas-de-dr-blumenau.html,"Dr, blumenau nasceu nesta casa, na cidade de Hasselfeld, na Alemanha - Dr. Blumenau nasceu a 26 de dezembro de 1819, no ducado de Braunschweig (Alemanha). Após viver trinta e quatro anos em Blumenau, ...",blumenau nasceu nesta casa cidade hasselfeld alemanha dr. blumenau nasceu dezembro ducado braunschweig alemanha após viver trinta quatro anos blumenau,blumenau nasc nest cas cidad hasselfeld alemanh dr. blumenau nasc dezembr duc braunschweig alemanh após viv trint quatr ano blumenau,blumenau nasceu nesta casa cidade hasselfeld alemanha dr. blumenau nasceu dezembro ducado braunschweig alemanha após viver trinta quatro ano blumenau,"Nomes: Otto, Colonial, Rua"
http://adalbertoday.blogspot.com.br/2010/03/coragem-para-enfrentar-o-desconhecido.html,"Quando os pioneiros chegaram à foz do ribeirão da Velha, só encontraram o mato cerrado. Existia também o perigo das pumas, onças, cobras e dos insetos peçonhentos e a mais diversas infinidade de surpr...",pioneiros chegaram foz ribeirão velha encontraram mato cerrado existia perigo pumas onças cobras insetos peçonhentos diversas infinidade surpresas densa mata,pioneir cheg foz ribe velh encontr mat cerr exist perig pum onç cobr inset peçonhent divers infin surpr dens mat,pioneiros chegaram foz ribeirão velha encontraram mato cerrado existia perigo puma onças cobra insetos peçonhentos diversas infinidade surpresas densa mata,"Nomes: Otto, Friedenreich, Ferdinand"
http://adalbertoday.blogspot.com.br/2009/11/dr-blumenau-retorna-alemanha-1866-para.html,"- Dr. Blumenau visita sua terra natal Alemanha em 1866. Apesar da Ida de Dr. Blumenau a Alemanha, não foi possível incrementar a imigração, e o número de colonos entrados foi relativamente insignifica...",dr. blumenau visita terra natal alemanha apesar ida dr. blumenau alemanha possível incrementar imigração número colonos entrados relativamente insignificante continuaram,dr. blumenau visit terr natal alemanh apes ida dr. blumenau alemanh possível increment imigr númer colon entr relativ insignific continu,dr. blumenau visita terra natal alemanha apesar ida dr. blumenau alemanha possível incrementar imigração número colonos entrados relativamente insignificante continuaram,"Nomes: Otto, Colonial, Centenário"
